variant,file,mean_brightness_orig,mean_brightness_enh,mean_brightness_balance,contrast_orig,contrast_enh,entropy_orig,entropy_enh,edge_strength_orig,edge_strength_enh,laplacian_var_orig,laplacian_var_enh,over_exposure_orig,over_exposure_enh,noise_est_orig,noise_est_enh,edge_keep_ratio,ssim_to_original,Q_score
Full Model,D:\A题代码_公式包\clear text\cam101_12-02_13-35.jpeg,0.42241156101226807,0.487709641456604,0.8867448026483709,0.23095599825428997,0.2098602721174421,7.349150657653809,7.442591667175293,0.3271820843219757,0.3788703978061676,3158.225867978395,4189.2285387530455,0.0057696759259259255,0.005873842592592593,0.10561104863882065,0.13255715370178223,1.1579802524341538,0.9399195309788086,0.47567184703346926
Full Model,D:\A题代码_公式包\clear text\cam102_03-02_07-42 - .jpeg,0.4199084937572479,0.4639910161495209,0.8436200293627651,0.1722577333800307,0.16193729612620864,6.551889419555664,6.655384540557861,0.2049582302570343,0.24266085028648376,2104.931223370378,2797.22957089117,0.011281828703703704,0.010830439814814815,0.06733255088329315,0.08643663674592972,1.1839527443135558,0.9666626907459844,0.37600984831344186
Full Model,D:\A题代码_公式包\clear text\cam102_03-02_08-00 - .jpeg,0.4582531750202179,0.4925539493560791,0.895552635192871,0.2102559240009242,0.1893785127068247,6.891057014465332,6.960668087005615,0.22768132388591766,0.2646905183792114,2181.163246522118,2856.5515132579326,0.029751157407407407,0.007659143518518518,0.0717780664563179,0.0907927006483078,1.162548136467419,0.968754317696409,0.40624058979943617
Full Model,D:\A题代码_公式包\clear text\cam102_03-02_08-51.jpeg,0.43220531940460205,0.4744220972061157,0.8625856312838467,0.20962541268322046,0.18664443967078578,6.842887878417969,6.96541690826416,0.2176920622587204,0.25616487860679626,2054.3880677852844,2673.458903255979,0.02582175925925926,0.007170138888888889,0.06851950287818909,0.08728347718715668,1.176730483782298,0.9648581032347575,0.39593025776780744
Full Model,D:\A题代码_公式包\clear text\cam102_03-02_09-45.jpeg,0.4195566475391388,0.46988633275032043,0.8543387868187644,0.19069192727439205,0.17790828407282408,6.914595127105713,7.006344795227051,0.24420827627182007,0.28898927569389343,2365.021825803144,3190.1205092591254,0.00583912037037037,0.005581597222222222,0.08052874356508255,0.10318069159984589,1.183372229827005,0.961467642790335,0.4115170858819896
Full Model,D:\A题代码_公式包\clear text\cam102_17-02_07-42.jpeg,0.45745405554771423,0.4868369400501251,0.8851580728184092,0.1962028215235175,0.17573219281049868,6.984780311584473,6.973121643066406,0.1898156851530075,0.22448724508285522,1793.987464252153,2305.035706314493,0.014710648148148148,0.009869791666666667,0.05853831022977829,0.07546179741621017,1.1826590827198935,0.9680849027450531,0.38151996543590194
Full Model,D:\A题代码_公式包\clear text\cam103_02-02_20-43 - .jpeg,0.30162954330444336,0.37954434752464294,0.6900806318629871,0.16622828046027752,0.15157821989361553,6.759535789489746,6.725050449371338,0.17754465341567993,0.1999637484550476,1915.2316129295987,2172.9488828261556,0.016550925925925927,0.01089699074074074,0.04558280110359192,0.056648340076208115,1.1262729942793723,0.9112931100954245,0.3053369176846858
Full Model,D:\A题代码_公式包\clear text\cam103_02-02_22-23.jpeg,0.29524096846580505,0.3744610846042633,0.680838335644115,0.17603804143704213,0.1568424723263413,6.820976257324219,6.714860439300537,0.1727191060781479,0.19212211668491364,1877.0470768497084,2116.1737553246685,0.021015625,0.010656828703703703,0.04445081949234009,0.05471862480044365,1.1123384745809395,0.9052362824813494,0.2988216848413907
Full Model,D:\A题代码_公式包\clear text\cam103_02-02_23-51.jpeg,0.2861560583114624,0.36628803610801697,0.6659782474691217,0.1717760198018337,0.15690716600430835,6.787363052368164,6.762735366821289,0.17479266226291656,0.19437283277511597,1892.7065723084165,2136.3379069962784,0.016064814814814816,0.01074074074074074,0.044965676963329315,0.055160075426101685,1.1120193942033063,0.9067442762808193,0.2985253109855538
Full Model,D:\A题代码_公式包\clear text\cam103_12-02_14-24.jpeg,0.42278552055358887,0.49134692549705505,0.8933580463582819,0.2399807035891319,0.21559714726765747,7.107303619384766,7.2701239585876465,0.2455211579799652,0.2824971377849579,2665.760482547051,3351.6153381546505,0.008431712962962964,0.008726851851851852,0.07593371719121933,0.09485930949449539,1.1506020734225657,0.924359388003146,0.43189087462497044
Full Model,D:\A题代码_公式包\clear text\cam106_03-02_00-55 - .jpeg,0.28695037961006165,0.3648598790168762,0.6633815982125022,0.1311852285576359,0.13134805649124437,6.402092933654785,6.4237895011901855,0.16550281643867493,0.19552618265151978,2031.0845178421587,2428.500534639829,0.010908564814814815,0.01081886574074074,0.04951291158795357,0.06394372880458832,1.1814070279084399,0.926053778731467,0.3028458970306462
Full Model,D:\A题代码_公式包\clear text\cam110_02-02_18-57.jpeg,0.3004944324493408,0.37988483905792236,0.6906997073780405,0.1620842236283031,0.15282019969438482,6.787729740142822,6.78999662399292,0.19758351147174835,0.22497428953647614,1992.228960817933,2412.8310732889977,0.017864583333333333,0.012786458333333334,0.05329476669430733,0.06738647073507309,1.1386288112866554,0.9173501601839794,0.32140500920665077
