variant,Q_score,Q_std,SSIM,Edge_Keep,Contrast,Entropy,Overexposure,Noise,Count
w/o Retinex,0.43795334046401513,0.08362175947691365,0.9413563829904081,1.335738166717299,0.200976638941192,7.217989624730799,0.013605529259796422,0.09758530423316537,302
w/o Highlight,0.3916780222802018,0.06956386537251785,0.924042267401892,1.1726598313299423,0.1791316185334006,7.084415257371814,0.015459308743250405,0.0866884410362814,302
w/o DCP,0.38965271702966436,0.06685855307054016,0.9136546068064,1.1556325652562223,0.17674727686651293,7.09336792554287,0.008590362393734282,0.08586733084825786,302
Full Model,0.38579134236137935,0.06924821029196142,0.934093658858561,1.15575682248202,0.17945832563899597,7.084188912877973,0.01017264424905389,0.08546713572180528,302
w/o CLAHE,0.3419696456003651,0.06381535423834003,0.9374084605973821,1.0310351696141853,0.171639611344524,6.963905782889056,0.008860581522250482,0.07667032289102871,302
